top - 12:56:35 up  1:05,  1 user,  load average: 12.02, 11.87, 10.73
Tasks:  44 total,  13 running,  31 sleeping,   0 stopped,   0 zombie
Cpu(s):  62.9% user,   6.4% system,   0.0% nice,  30.7% idle
Mem:    257044k total,    70640k used,   186404k free,    11296k buffers
Swap:        0k total,        0k used,        0k free,    46828k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  763 u2        20   0   236  236  196 R 22.1  0.1   4:12.22 u2p2               
  762 u2        20   0   236  236  196 R 16.1  0.1   4:13.44 u2p1               
  755 u1        20   0   236  236  196 R 14.0  0.1   4:21.92 u1p1               
  769 u3        20   0   236  236  196 R 14.0  0.1   4:09.72 u3p1               
  770 u3        20   0   236  236  196 R 14.0  0.1   4:10.19 u3p2               
  756 u1        20   0   236  236  196 R 12.0  0.1   4:19.10 u1p2               
  776 u4        18   0   236  236  196 R  8.0  0.1   4:07.87 u4p1               
    1 root       8   0   500  500  448 S  0.0  0.2   0:00.11 init               
    2 root       8   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      19  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.35 kupdated           
   99 root       9   0     0    0    0 S  0.0  0.0   0:03.55 kjournald          
  413 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  495 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  500 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  657 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  660 root       9   0  1384 1380  480 S  0.0  0.5   0:00.02 klogd              
  695 Debian-e   8   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  701 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  705 lp         9   0   864  864  752 S  0.0  0.3   0:00.01 lpd                
  712 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
