top - 08:14:43 up  1:14,  2 users,  load average: 15.50, 15.71, 15.52
  675 root       9   0   976  976  780 S  0.0  0.4   0:00.01 sftp-server        
  678 root       9   0  1036 1036  844 R  0.0  0.4   0:00.00 top                


top - 08:16:04 up  1:16,  2 users,  load average: 15.85, 15.76, 15.55
Tasks:  43 total,  15 running,  28 sleeping,   0 stopped,   0 zombie
Cpu(s):  99.8% user,   0.2% system,   0.0% nice,   0.0% idle
Mem:    255868k total,    28224k used,   227644k free,     1184k buffers
Swap:        0k total,        0k used,        0k free,    16708k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  650 u5        20   0   236  236  196 R 16.7  0.1  12:02.88 u5p1               
  656 u6        20   0   236  236  196 R 16.7  0.1  11:43.68 u6p1               
  629 u2        20   0   236  236  196 R  8.3  0.1   6:26.76 u2p1               
  630 u2        20   0   236  236  196 R  8.3  0.1   6:25.08 u2p2               
  636 u3        20   0   236  236  196 R  8.3  0.1   6:20.16 u3p1               
  637 u3        20   0   236  236  196 R  8.3  0.1   6:18.48 u3p2               
  643 u4        20   0   236  236  196 R  8.3  0.1   6:13.92 u4p1               
  644 u4        20   0   236  236  196 R  8.3  0.1   6:09.12 u4p2               
  619 u1        20   0   236  236  196 R  4.2  0.1   3:28.48 u1p1               
  620 u1        20   0   236  236  196 R  4.2  0.1   3:22.65 u1p2               
  621 u1        20   0   236  236  196 R  4.2  0.1   3:21.13 u1p3               
  622 u1        20   0   236  236  196 R  4.2  0.1   3:19.78 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.13 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.01 portmap            
  519 root       9   0   808  808  704 R  0.0  0.3   0:00.00 syslogd            
