top - 19:05:45 up  2:44,  2 users,  load average: 14.43, 14.67, 14.81
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):  95.7% user,   2.7% system,   0.0% nice,   1.6% idle
Mem:    255868k total,    30268k used,   225600k free,     1200k buffers
Swap:        0k total,        0k used,        0k free,    18632k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1  30:34.56 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1  16:01.09 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1  15:58.71 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1  15:42.00 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1  15:39.36 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1  15:33.60 u4p1               
  686 u4        20   0   236  236  196 R 10.0  0.1  15:29.76 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   8:16.14 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   8:12.45 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   8:10.96 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   8:09.81 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.02 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   8   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  591 root       9   0  1636 1636 1200 S  0.0  0.6   0:00.04 bash               
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  600 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.10 sshd               
  602 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd               
  604 root      11   0  1624 1624 1212 S  0.0  0.6   0:00.02 bash               
  624 root       9   0  2236 2228 1948 S  0.0  0.9   0:00.04 sshd               
  626 root       8   0  2236 2228 1948 S  0.0  0.9   0:00.00 sshd               
  628 root       9   0   976  976  780 S  0.0  0.4   0:00.01 sftp-server        
  718 root      11   0   948  948  768 R  0.0  0.4   0:00.00 top                


top - 19:05:55 up  2:45,  2 users,  load average: 14.37, 14.65, 14.80
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):  99.9% user,   0.1% system,   0.0% nice,   0.0% idle
Mem:    255868k total,    30276k used,   225592k free,     1200k buffers
Swap:        0k total,        0k used,        0k free,    18636k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1  30:36.48 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1  16:02.05 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1  15:59.67 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1  15:42.96 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1  15:40.32 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1  15:34.56 u4p1               
  686 u4        20   0   236  236  196 R 10.0  0.1  15:30.72 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   8:16.62 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   8:12.93 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   8:11.44 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   8:10.29 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.02 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   8   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  591 root       9   0  1636 1636 1200 S  0.0  0.6   0:00.04 bash               
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  600 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.10 sshd               
  602 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd               
  604 root      10   0  1624 1624 1212 S  0.0  0.6   0:00.02 bash               
  624 root       9   0  2236 2228 1948 S  0.0  0.9   0:00.04 sshd               
  626 root       8   0  2236 2228 1948 S  0.0  0.9   0:00.00 sshd               
  628 root       9   0   976  976  780 S  0.0  0.4   0:00.01 sftp-server        
  718 root      10   0  1036 1036  844 R  0.0  0.4   0:00.00 top                


top - 19:06:04 up  2:45,  2 users,  load average: 14.41, 14.64, 14.80
Tasks:  42 total,  14 running,  28 sleeping,   0 stopped,   0 zombie
Cpu(s):  88.9% user,  11.1% system,   0.0% nice,   0.0% idle
Mem:    255868k total,    30280k used,   225588k free,     1200k buffers
Swap:        0k total,        0k used,        0k free,    18640k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1  30:38.40 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1  16:03.01 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1  16:00.63 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1  15:43.92 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1  15:41.28 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1  15:35.52 u4p1               
  686 u4        20   0   236  236  196 R 10.0  0.1  15:31.68 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   8:17.10 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   8:13.41 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   8:11.92 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   8:10.77 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
