top - 19:25:26 up  3:04,  2 users,  load average: 14.27, 14.46, 14.64
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):  95.8% user,   2.7% system,   0.0% nice,   1.4% idle
Mem:    255868k total,    30656k used,   225212k free,     1204k buffers
Swap:        0k total,        0k used,        0k free,    19008k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1  34:30.72 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1  17:59.17 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1  17:56.79 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1  17:40.08 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1  17:37.44 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1  17:31.68 u4p1               
  686 u4        20   0   236  236  196 R 10.0  0.1  17:27.84 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   9:15.18 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   9:11.49 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   9:10.00 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   9:08.85 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.02 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   8   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  591 root       9   0  1636 1636 1200 S  0.0  0.6   0:00.04 bash               
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  600 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.14 sshd               
  602 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd               
  604 root      11   0  1624 1624 1212 S  0.0  0.6   0:00.02 bash               
  624 root       9   0  2236 2228 1948 S  0.0  0.9   0:00.04 sshd               
  626 root       8   0  2236 2228 1948 S  0.0  0.9   0:00.00 sshd               
  628 root       9   0   976  976  780 S  0.0  0.4   0:00.01 sftp-server        
  722 root      11   0   948  948  768 R  0.0  0.4   0:00.00 top                


top - 19:25:35 up  3:04,  2 users,  load average: 14.25, 14.45, 14.63
Tasks:  42 total,  12 running,  30 sleeping,   0 stopped,   0 zombie
Cpu(s):  97.0% user,   3.0% system,   0.0% nice,   0.0% idle
Mem:    255868k total,    30664k used,   225204k free,     1204k buffers
Swap:        0k total,        0k used,        0k free,    19012k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1  34:32.64 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1  18:00.13 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1  17:57.75 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1  17:41.04 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1  17:38.40 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1  17:32.64 u4p1               
  686 u4        20   0   236  236  196 R 10.0  0.1  17:28.80 u4p2               
  660 u1        20   0   236  236  196 R  5.0  0.1   9:15.66 u1p1               
  661 u1        20   0   236  236  196 R  5.0  0.1   9:11.97 u1p2               
  662 u1        20   0   236  236  196 R  5.0  0.1   9:10.48 u1p3               
  663 u1        20   0   236  236  196 R  5.0  0.1   9:09.33 u1p4               
    1 root       8   0   500  500  448 S  0.0  0.2   0:04.10 init               
    2 root       9   0     0    0    0 S  0.0  0.0   0:00.00 keventd            
    3 root      18  19     0    0    0 S  0.0  0.0   0:00.00 ksoftirqd_CPU0     
    4 root       9   0     0    0    0 S  0.0  0.0   0:00.00 kswapd             
    5 root       9   0     0    0    0 S  0.0  0.0   0:00.00 bdflush            
    6 root       9   0     0    0    0 S  0.0  0.0   0:00.02 kupdated           
    9 root       9   0     0    0    0 S  0.0  0.0   0:00.00 khubd              
  356 root       9   0   856  856  732 S  0.0  0.3   0:00.00 dhclient           
  361 daemon     9   0   452  452  384 S  0.0  0.2   0:00.00 portmap            
  519 root       9   0   808  808  704 S  0.0  0.3   0:00.00 syslogd            
  522 root       9   0  1372 1368  456 S  0.0  0.5   0:00.02 klogd              
  557 Debian-e   8   0  1748 1744 1504 S  0.0  0.7   0:00.00 exim4              
  563 root       9   0   720  720  652 S  0.0  0.3   0:00.00 inetd              
  567 lp         9   0   864  864  752 S  0.0  0.3   0:00.00 lpd                
  574 root       8   0  1540 1536 1396 S  0.0  0.6   0:00.00 sshd               
  579 root       9   0   932  932  836 S  0.0  0.4   0:00.00 rpc.statd          
  582 daemon     9   0   636  636  560 S  0.0  0.2   0:00.00 atd                
  585 root       9   0   716  716  612 S  0.0  0.3   0:00.00 cron               
  591 root       9   0  1636 1636 1200 S  0.0  0.6   0:00.04 bash               
  592 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  593 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  594 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  595 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  596 root       9   0   472  472  420 S  0.0  0.2   0:00.00 getty              
  600 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.14 sshd               
  602 root       9   0  2248 2240 1948 S  0.0  0.9   0:00.00 sshd               
  604 root      10   0  1624 1624 1212 S  0.0  0.6   0:00.02 bash               
  624 root       9   0  2236 2228 1948 S  0.0  0.9   0:00.04 sshd               
  626 root       8   0  2236 2228 1948 S  0.0  0.9   0:00.00 sshd               
  628 root       9   0   976  976  780 S  0.0  0.4   0:00.01 sftp-server        
  722 root      10   0  1036 1036  844 R  0.0  0.4   0:00.00 top                


top - 19:25:45 up  3:04,  2 users,  load average: 14.22, 14.43, 14.62
Tasks:  42 total,  13 running,  29 sleeping,   0 stopped,   0 zombie
Cpu(s):  95.5% user,   4.5% system,   0.0% nice,   0.0% idle
Mem:    255868k total,    30668k used,   225200k free,     1204k buffers
Swap:        0k total,        0k used,        0k free,    19016k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND            
  693 u5        20   0   236  236  196 R 20.0  0.1  34:34.56 u5p1               
  670 u2        20   0   236  236  196 R 10.0  0.1  18:01.09 u2p1               
  671 u2        20   0   236  236  196 R 10.0  0.1  17:58.71 u2p2               
  678 u3        20   0   236  236  196 R 10.0  0.1  17:42.00 u3p1               
  679 u3        20   0   236  236  196 R 10.0  0.1  17:39.36 u3p2               
  685 u4        20   0   236  236  196 R 10.0  0.1  17:33.60 u4p1               
